state_po,county_fips,county_name,DEMOCRAT,REPUBLICAN,total_votes,dem_margin
MO,29149,OREGON,696.0,3884.0,4580.0,-0.6960698689956332
MO,29151,OSAGE,1009.0,6657.0,7666.0,-0.7367597182363684
MO,29153,OZARK,698.0,4044.0,4742.0,-0.7056094474905104
MO,29155,PEMISCOT,1331.0,3917.0,5248.0,-0.4927591463414634
MO,29157,PERRY,1757.0,7986.0,9743.0,-0.6393308016011495
MO,29159,PETTIS,4703.0,13907.0,18610.0,-0.4945728103170339
MO,29161,PHELPS,5379.0,13658.0,19037.0,-0.4348899511477648
MO,29163,PIKE,1618.0,6151.0,7769.0,-0.5834727764191016
MO,29165,PLATTE,27566.0,29381.0,56947.0,-0.0318717403901873
MO,29167,POLK,2948.0,12691.0,15639.0,-0.6229937975573886
MO,29169,PULASKI,3765.0,11579.0,15344.0,-0.5092544316996872
MO,29171,PUTNAM,347.0,2021.0,2368.0,-0.7069256756756757
MO,29173,RALLS,1154.0,4575.0,5729.0,-0.5971373712689824
MO,29175,RANDOLPH,2571.0,8322.0,10893.0,-0.5279537317543377
MO,29177,RAY,2927.0,8602.0,11529.0,-0.4922369676468037
MO,29179,REYNOLDS,472.0,2560.0,3032.0,-0.6886543535620053
MO,29181,RIPLEY,763.0,5002.0,5765.0,-0.7352992194275803
MO,29183,ST CHARLES,92226.0,130588.0,222814.0,-0.1721705099320509
MO,29185,ST CLAIR,959.0,3982.0,4941.0,-0.611819469742967
MO,29186,STE GENEVIEVE,2629.0,7031.0,9660.0,-0.4556935817805383
MO,29187,ST FRANCOIS,6811.0,21521.0,28332.0,-0.5192009035719328
MO,29189,ST LOUIS COUNTY,305635.0,187982.0,493617.0,0.2383487602736534
MO,29195,SALINE,2726.0,6498.0,9224.0,-0.4089332176929748
MO,29197,SCHUYLER,334.0,1588.0,1922.0,-0.6524453694068678
MO,29199,SCOTLAND,358.0,1537.0,1895.0,-0.6221635883905013
MO,29201,SCOTT,3525.0,13786.0,17311.0,-0.5927444977182138
MO,29203,SHANNON,625.0,3364.0,3989.0,-0.686638255201805
MO,29205,SHELBY,550.0,2691.0,3241.0,-0.6605985806849738
MO,29207,STODDARD,1736.0,11783.0,13519.0,-0.7431762704342038
MO,29209,STONE,3620.0,15357.0,18977.0,-0.6184855351214629
MO,29211,SULLIVAN,408.0,2035.0,2443.0,-0.6659844453540729
MO,29213,TANEY,5329.0,21236.0,26565.0,-0.5987954074910596
MO,29215,TEXAS,1589.0,9855.0,11444.0,-0.7222998951415589
MO,29217,VERNON,1774.0,7112.0,8886.0,-0.6007202340760748
MO,29219,WARREN,4970.0,14915.0,19885.0,-0.5001257229067136
MO,29221,WASHINGTON,1747.0,8424.0,10171.0,-0.6564742896470357
MO,29223,WAYNE,783.0,5030.0,5813.0,-0.7306038190263203
MO,29225,WEBSTER,3653.0,15984.0,19637.0,-0.6279472424504762
MO,29227,WORTH,190.0,904.0,1094.0,-0.6526508226691042
MO,29229,WRIGHT,1057.0,7850.0,8907.0,-0.7626585831368586
MO,29510,ST LOUIS CITY,94458.0,19342.0,113800.0,0.6600702987697715
