state_po,county_fips,county_name,DEMOCRAT,REPUBLICAN,total_votes,dem_margin
IL,17149,PIKE,1302.0,6086.0,7388.0,-0.6475365457498646
IL,17151,POPE,416.0,1698.0,2114.0,-0.6064333017975402
IL,17153,PULASKI,769.0,1583.0,2352.0,-0.3460884353741497
IL,17155,PUTNAM,1254.0,2014.0,3268.0,-0.2325581395348837
IL,17157,RANDOLPH,3461.0,10624.0,14085.0,-0.5085552005679801
IL,17159,RICHLAND,1747.0,5889.0,7636.0,-0.5424305919329492
IL,17161,ROCK ISLAND,34126.0,28061.0,62187.0,0.097528422339074
IL,17163,ST. CLAIR,63433.0,54021.0,117454.0,0.0801334990719771
IL,17165,SALINE,2634.0,7830.0,10464.0,-0.4965596330275229
IL,17167,SANGAMON,46074.0,50979.0,97053.0,-0.0505393960001236
IL,17169,SCHUYLER,961.0,2720.0,3681.0,-0.4778592773702798
IL,17171,SCOTT,488.0,2071.0,2559.0,-0.6186010160218836
IL,17173,SHELBY,2240.0,9267.0,11507.0,-0.610671765012601
IL,17175,STARK,725.0,1983.0,2708.0,-0.4645494830132939
IL,17177,STEPHENSON,8278.0,12347.0,20625.0,-0.1972848484848484
IL,17179,TAZEWELL,24325.0,42451.0,66776.0,-0.271444830478016
IL,17181,UNION,2285.0,5837.0,8122.0,-0.4373307067224821
IL,17183,VERMILION,9254.0,19777.0,29031.0,-0.3624745961213875
IL,17185,WABASH,1200.0,4095.0,5295.0,-0.546742209631728
IL,17187,WARREN,2711.0,4579.0,7290.0,-0.256241426611797
IL,17189,WASHINGTON,1564.0,5892.0,7456.0,-0.5804721030042919
IL,17191,WAYNE,1155.0,7019.0,8174.0,-0.7173966234401762
IL,17193,WHITE,1390.0,5586.0,6976.0,-0.6014908256880734
IL,17195,WHITESIDE,11012.0,14898.0,25910.0,-0.1499807024314936
IL,17197,WILL,162874.0,157672.0,320546.0,0.0162285600194667
IL,17199,WILLIAMSON,9890.0,22686.0,32576.0,-0.3928045186640471
IL,17201,WINNEBAGO,59942.0,59257.0,119199.0,0.0057466925058096
IL,17203,WOODFORD,5958.0,14837.0,20795.0,-0.4269776388554941
