state_abbrev,state_name,state_fips,total_schools,cep_schools,total_enrollment,cep_enrollment,cep_rate_school,cep_rate_student,poverty_rate_children,child_food_insec_rate,total_lunch_served,total_cash_payments,total_commodity_costs,school_age_pop_2024,lunches_per_school_age,cash_per_school_age,commodity_per_school_age,nslp_total_dollars_per_school_age,cash_per_lunch,commodity_per_lunch,total_dollars_per_lunch
ME,Maine,23,459,114,127235.0,33795.0,0.2483660130718954,0.2656108775101191,12.6,0.0900291747929667,17295122.0,72858127.025,4726042.0,186170,92.89961862813557,391.35267242305423,25.385626040715476,416.7382984637697,4.212640247637456,0.27325866796429654,4.485898915601752
MI,Michigan,26,3366,2697,1301963.0,1044014.0,0.8012477718360071,0.8018768582517322,17.3,0.1053211262010204,130673912.0,569763281.1775,41234309.43,1578867,82.76435697243656,360.8684462829991,26.116391963350935,386.98483824635,4.360191506147761,0.3155511976254296,4.6757427037731905
MN,Minnesota,27,1686,495,761681.0,202642.0,0.293594306049822,0.2660457593139385,10.0,0.0529055050871169,95572048.0,408919217.535,17842396.58,972229,98.30199263753704,420.5996915695788,18.3520513994131,438.9517429689919,4.278648685387594,0.18669053298931082,4.465339218376904
MO,Missouri,29,1159,444,,,0.3830888697152718,,15.4,0.1254145979513349,93741654.0,397426967.445,27629222.56,1023796,91.56282501592113,388.1896075438857,26.98703898042188,415.17664652430756,4.2395984120890375,0.29473794605757647,4.534336358146614
MS,Mississippi,28,890,268,,,0.3011235955056179,,25.7,0.0870983611115438,55345931.0,239811264.19,19648713.16,508305,108.8833102172908,471.7861602581127,38.65536077748596,510.44152103559867,4.332952032011169,0.3550163996699233,4.687968431681093
MT,Montana,30,567,250,108429.0,44710.0,0.4409171075837742,0.4123435612243957,12.2,0.0812550042841804,13968237.0,59448353.69,4022154.58,176060,79.33793593093263,337.6596256389867,22.84536283085312,360.5049884698398,4.255966854657463,0.28795005268023444,4.543916907337698
NC,North Carolina,37,2356,1895,1276608.0,949368.0,0.8043293718166383,0.7436644608211761,17.4,0.1136403204726687,133740108.0,586951976.7025,47309322.24,1744619,76.65863320300879,336.43562101668044,27.117280185530483,363.55290120221093,4.388750581108399,0.35374072107075016,4.742491302179149
ND,North Dakota,38,58,41,13918.0,9163.0,0.7068965517241379,0.6583560856444891,10.8,0.0644661023276899,15499079.0,64103975.8,5065929.23,134427,115.29736585656156,476.8683062182448,37.685355099793945,514.5536613180388,4.135986131821123,0.32685356529894455,4.462839697120067
NE,Nebraska,31,665,216,231274.0,92254.0,0.324812030075188,0.3988948174027344,11.6,0.069596917865858,40015627.0,167368449.7925,10930028.44,358127,111.73585627445013,467.34384671499214,30.519978778478023,497.86382549347013,4.18257721645846,0.2731440004676173,4.455721216926077
NH,New Hampshire,33,217,3,66549.0,607.0,0.0138248847926267,0.0091210987392748,7.4,0.0356313102788412,15386198.0,65430955.08,4610493.46,186459,82.51786183557779,350.9133647611539,24.72658042786886,375.63994518902274,4.252574617849062,0.29965124977593555,4.552225867624997
NJ,New Jersey,34,1295,343,629516.0,144466.0,0.2648648648648649,0.2294874157289091,12.7,0.0616227830044007,144830392.0,639227021.31,34413805.16,1517824,95.41975354191263,421.14699814339474,22.673119650236124,443.8201177936308,4.413624878609732,0.23761452748122092,4.651239406090953
NM,New Mexico,35,859,857,286387.0,285778.0,0.9976717112922002,0.9978735068281732,23.8,0.1160459300645635,31757931.0,140402607.885,10722667.41,340481,93.27372452501021,412.3654708632787,31.492704174388585,443.85817503766725,4.421025031038703,0.33763746794462146,4.758662498983324
NV,Nevada,32,603,553,415616.0,383714.0,0.9170812603648424,0.9232416461348938,16.0,0.0885226602052185,38666248.0,165974781.4375,14316508.94,517968,74.64987798474037,320.4344311569441,27.639755621968924,348.074186778913,4.292497721462398,0.37025855055809914,4.662756272020497
NY,New York,36,4409,4325,2433300.0,2413377.0,0.9809480607847584,0.9918123535938848,18.0,0.1103791080608091,273040706.0,1234379193.37,70751339.81,2933468,93.07778574710888,420.7917704812188,24.118667669120647,444.9104381503394,4.52086141826047,0.2591237799172699,4.779985198177739
OH,Ohio,39,2605,1653,1172213.0,684387.0,0.634548944337812,0.5838418444429468,17.4,0.0837125970143691,169281518.0,723661294.565,56354725.25,1916324,88.33658504511763,377.6299282193408,29.407722937248607,407.0376511565894,4.274898424321786,0.3329053633013853,4.607803787623172
OK,Oklahoma,40,1705,846,,,0.4961876832844575,,19.8,0.0979258487785529,62017854.0,265168968.17,23225406.23,722102,85.88517134698422,367.2181605507255,32.163608783800626,399.3817693345261,4.275687581353589,0.3744954836715247,4.6501830650251135
OR,Oregon,41,1235,1190,500346.0,486657.0,0.9635627530364372,0.9726409324747276,12.8,0.0252234197740817,43724812.0,190148540.65,14057966.45,628058,69.61906702884129,302.7563388253951,22.383229653949158,325.13956847934423,4.3487560483965035,0.32151004903119995,4.670266097427703
PA,Pennsylvania,42,2605,1827,,,0.7013435700575815,,15.3,0.0359988255316672,167676195.0,729059226.1375,49061354.22,1964476,85.35415805537966,371.12147266624794,24.974270095435116,396.095742761683,4.3480186685862,0.2925958226807329,4.640614491266933
