GEO_ID,geo_name,population_children,poverty_count_children,poverty_rate_children,county_fips,state_fips,county_fips_3
0500000US17173,"Shelby County, Illinois",4326,465,10.7,17173,17,173
0500000US17175,"Stark County, Illinois",1089,154,14.1,17175,17,175
0500000US17177,"Stephenson County, Illinois",9134,1790,19.6,17177,17,177
0500000US17179,"Tazewell County, Illinois",27860,3127,11.2,17179,17,179
0500000US17181,"Union County, Illinois",3567,921,25.8,17181,17,181
0500000US17183,"Vermilion County, Illinois",16253,4062,25.0,17183,17,183
0500000US17185,"Wabash County, Illinois",2213,619,28.0,17185,17,185
0500000US17187,"Warren County, Illinois",3494,810,23.2,17187,17,187
0500000US17189,"Washington County, Illinois",2736,224,8.2,17189,17,189
0500000US17191,"Wayne County, Illinois",3538,790,22.3,17191,17,191
0500000US17193,"White County, Illinois",2815,513,18.2,17193,17,193
0500000US17195,"Whiteside County, Illinois",11640,1982,17.0,17195,17,195
0500000US17197,"Will County, Illinois",163255,15913,9.7,17197,17,197
0500000US17199,"Williamson County, Illinois",13811,2405,17.4,17199,17,199
0500000US17201,"Winnebago County, Illinois",65276,14228,21.8,17201,17,201
0500000US17203,"Woodford County, Illinois",8821,530,6.0,17203,17,203
