GEO_ID,geo_name,population_children,poverty_count_children,poverty_rate_children,county_fips,state_fips,county_fips_3
0500000US29157,"Perry County, Missouri",4039,644,15.9,29157,29,157
0500000US29159,"Pettis County, Missouri",10632,2103,19.8,29159,29,159
0500000US29161,"Phelps County, Missouri",9340,1325,14.2,29161,29,161
0500000US29163,"Pike County, Missouri",3928,975,24.8,29163,29,163
0500000US29165,"Platte County, Missouri",25118,2195,8.7,29165,29,165
0500000US29167,"Polk County, Missouri",7493,1385,18.5,29167,29,167
0500000US29169,"Pulaski County, Missouri",10953,1844,16.8,29169,29,169
0500000US29171,"Putnam County, Missouri",1042,148,14.2,29171,29,171
0500000US29173,"Ralls County, Missouri",2164,178,8.2,29173,29,173
0500000US29175,"Randolph County, Missouri",5266,1141,21.7,29175,29,175
0500000US29177,"Ray County, Missouri",5148,728,14.1,29177,29,177
0500000US29179,"Reynolds County, Missouri",1058,199,18.8,29179,29,179
0500000US29181,"Ripley County, Missouri",2502,698,27.9,29181,29,181
0500000US29183,"St. Charles County, Missouri",91794,5016,5.5,29183,29,183
0500000US29185,"St. Clair County, Missouri",1895,254,13.4,29185,29,185
0500000US29186,"Ste. Genevieve County, Missouri",3900,380,9.7,29186,29,186
0500000US29187,"St. Francois County, Missouri",13569,2252,16.6,29187,29,187
0500000US29189,"St. Louis County, Missouri",212498,27851,13.1,29189,29,189
0500000US29195,"Saline County, Missouri",4842,1024,21.1,29195,29,195
0500000US29197,"Schuyler County, Missouri",1100,27,2.5,29197,29,197
0500000US29199,"Scotland County, Missouri",1333,70,5.3,29199,29,199
0500000US29201,"Scott County, Missouri",8847,1214,13.7,29201,29,201
0500000US29203,"Shannon County, Missouri",1404,322,22.9,29203,29,203
0500000US29205,"Shelby County, Missouri",1313,221,16.8,29205,29,205
0500000US29207,"Stoddard County, Missouri",6129,1060,17.3,29207,29,207
0500000US29209,"Stone County, Missouri",5059,1002,19.8,29209,29,209
0500000US29211,"Sullivan County, Missouri",1270,194,15.3,29211,29,211
0500000US29213,"Taney County, Missouri",11518,2645,23.0,29213,29,213
0500000US29215,"Texas County, Missouri",5289,1525,28.8,29215,29,215
0500000US29217,"Vernon County, Missouri",4519,984,21.8,29217,29,217
0500000US29219,"Warren County, Missouri",8177,672,8.2,29219,29,219
0500000US29221,"Washington County, Missouri",5438,1335,24.5,29221,29,221
0500000US29223,"Wayne County, Missouri",2075,842,40.6,29223,29,223
0500000US29225,"Webster County, Missouri",10655,2261,21.2,29225,29,225
0500000US29227,"Worth County, Missouri",410,170,41.5,29227,29,227
0500000US29229,"Wright County, Missouri",4711,1117,23.7,29229,29,229
0500000US29510,"St. Louis city, Missouri",51671,15164,29.3,29510,29,510
